Date	Infections	Recovered	Deaths
01/22/2020	555	28	17
01/23/2020	653	30	18
01/24/2020	941	36	26
01/25/2020	1434	39	42
01/26/2020	2118	52	56
01/27/2020	2927	61	82
01/28/2020	5578	107	131
01/29/2020	6166	126	133
01/30/2020	8234	143	171
01/31/2020	9927	222	213
02/01/2020	12038	284	259
02/02/2020	16787	472	362
02/03/2020	19881	623	426
02/04/2020	23892	852	492
02/05/2020	27635	1124	564
02/06/2020	30817	1487	634
02/07/2020	34391	2011	719
02/08/2020	37120	2616	806
02/09/2020	40150	3244	906
02/10/2020	42762	3946	1013
02/11/2020	44802	4683	1113
02/12/2020	45221	5150	1118
02/13/2020	60368	6295	1371
02/14/2020	66885	8058	1523
02/15/2020	69030	9395	1666
02/16/2020	71224	10865	1770
02/17/2020	73258	12583	1868
02/18/2020	75136	14352	2007
02/19/2020	75639	16121	2122
02/20/2020	76197	18177	2247
02/21/2020	76823	18890	2251
02/22/2020	78579	22886	2458
02/23/2020	78965	23394	2469
02/24/2020	79568	25227	2629
02/25/2020	80413	27905	2708
02/26/2020	81395	30384	2770
02/27/2020	82754	33277	2814
02/28/2020	84120	36711	2872
02/29/2020	86011	39782	2941
03/01/2020	88369	42716	2996
03/02/2020	90306	45602	3085
03/03/2020	92840	48228	3160
03/04/2020	95120	51170	3254
03/05/2020	97882	53796	3348
03/06/2020	101784	55865	3460
03/07/2020	105821	58358	3558
03/08/2020	109795	60694	3802
03/09/2020	113561	62494	3988
03/10/2020	118592	64404	4262
03/11/2020	125865	67003	4615
03/12/2020	128343	68324	4720
03/13/2020	145193	70251	5404
03/14/2020	156097	72624	5819
03/15/2020	167449	76034	6440
03/16/2020	181546	78088	7126
