Province/State	Code	Lat	Long	Infections	Date
Hubei	CHN	30.9756	112.2707	444	01/22/2020
Hubei	CHN	30.9756	112.2707	444	01/23/2020
Hubei	CHN	30.9756	112.2707	549	01/24/2020
Hubei	CHN	30.9756	112.2707	761	01/25/2020
Hubei	CHN	30.9756	112.2707	1058	01/26/2020
Hubei	CHN	30.9756	112.2707	1423	01/27/2020
Hubei	CHN	30.9756	112.2707	3554	01/28/2020
Hubei	CHN	30.9756	112.2707	3554	01/29/2020
Hubei	CHN	30.9756	112.2707	4903	01/30/2020
Hubei	CHN	30.9756	112.2707	5806	01/31/2020
Hubei	CHN	30.9756	112.2707	7153	02/01/2020
Hubei	CHN	30.9756	112.2707	11177	02/02/2020
Hubei	CHN	30.9756	112.2707	13522	02/03/2020
Hubei	CHN	30.9756	112.2707	16678	02/04/2020
Hubei	CHN	30.9756	112.2707	19665	02/05/2020
Hubei	CHN	30.9756	112.2707	22112	02/06/2020
Hubei	CHN	30.9756	112.2707	24953	02/07/2020
Hubei	CHN	30.9756	112.2707	27100	02/08/2020
Hubei	CHN	30.9756	112.2707	29631	02/09/2020
Hubei	CHN	30.9756	112.2707	31728	02/10/2020
Hubei	CHN	30.9756	112.2707	33366	02/11/2020
Hubei	CHN	30.9756	112.2707	33366	02/12/2020
Hubei	CHN	30.9756	112.2707	48206	02/13/2020
Hubei	CHN	30.9756	112.2707	54406	02/14/2020
Hubei	CHN	30.9756	112.2707	56249	02/15/2020
Hubei	CHN	30.9756	112.2707	58182	02/16/2020
Hubei	CHN	30.9756	112.2707	59989	02/17/2020
Hubei	CHN	30.9756	112.2707	61682	02/18/2020
Hubei	CHN	30.9756	112.2707	62031	02/19/2020
Hubei	CHN	30.9756	112.2707	62442	02/20/2020
Hubei	CHN	30.9756	112.2707	62662	02/21/2020
Hubei	CHN	30.9756	112.2707	64084	02/22/2020
Hubei	CHN	30.9756	112.2707	64084	02/23/2020
Hubei	CHN	30.9756	112.2707	64287	02/24/2020
Hubei	CHN	30.9756	112.2707	64786	02/25/2020
Hubei	CHN	30.9756	112.2707	65187	02/26/2020
Hubei	CHN	30.9756	112.2707	65596	02/27/2020
Hubei	CHN	30.9756	112.2707	65914	02/28/2020
Hubei	CHN	30.9756	112.2707	66337	02/29/2020
Hubei	CHN	30.9756	112.2707	66907	03/01/2020
Hubei	CHN	30.9756	112.2707	67103	03/02/2020
Hubei	CHN	30.9756	112.2707	67217	03/03/2020
Hubei	CHN	30.9756	112.2707	67332	03/04/2020
Hubei	CHN	30.9756	112.2707	67466	03/05/2020
Hubei	CHN	30.9756	112.2707	67592	03/06/2020
Hubei	CHN	30.9756	112.2707	67666	03/07/2020
