Country	Lat	Long	Infections	Date
Thailand	15.0	101.0	2	22 Jan
Thailand	15.0	101.0	3	23 Jan
Thailand	15.0	101.0	5	24 Jan
Thailand	15.0	101.0	7	25 Jan
Thailand	15.0	101.0	8	26 Jan
Thailand	15.0	101.0	8	27 Jan
Thailand	15.0	101.0	14	28 Jan
Thailand	15.0	101.0	14	29 Jan
Thailand	15.0	101.0	14	30 Jan
Thailand	15.0	101.0	19	31 Jan
Thailand	15.0	101.0	19	01 Feb
Thailand	15.0	101.0	19	02 Feb
Thailand	15.0	101.0	19	03 Feb
Thailand	15.0	101.0	25	04 Feb
Thailand	15.0	101.0	25	05 Feb
Thailand	15.0	101.0	25	06 Feb
Thailand	15.0	101.0	25	07 Feb
Thailand	15.0	101.0	32	08 Feb
Thailand	15.0	101.0	32	09 Feb
Thailand	15.0	101.0	32	10 Feb
Thailand	15.0	101.0	33	11 Feb
Thailand	15.0	101.0	33	12 Feb
Thailand	15.0	101.0	33	13 Feb
Thailand	15.0	101.0	33	14 Feb
Thailand	15.0	101.0	33	15 Feb
Thailand	15.0	101.0	34	16 Feb
Thailand	15.0	101.0	35	17 Feb
Thailand	15.0	101.0	35	18 Feb
Thailand	15.0	101.0	35	19 Feb
Thailand	15.0	101.0	35	20 Feb
Thailand	15.0	101.0	35	21 Feb
Thailand	15.0	101.0	35	22 Feb
Thailand	15.0	101.0	35	23 Feb
Thailand	15.0	101.0	35	24 Feb
Thailand	15.0	101.0	37	25 Feb
Thailand	15.0	101.0	40	26 Feb
Thailand	15.0	101.0	40	27 Feb
Thailand	15.0	101.0	41	28 Feb
Thailand	15.0	101.0	42	29 Feb
Thailand	15.0	101.0	42	01 Mar
Thailand	15.0	101.0	43	02 Mar
Thailand	15.0	101.0	43	03 Mar
Thailand	15.0	101.0	43	04 Mar
Thailand	15.0	101.0	47	05 Mar
Thailand	15.0	101.0	48	06 Mar
Thailand	15.0	101.0	50	07 Mar
Thailand	15.0	101.0	50	08 Mar
Thailand	15.0	101.0	50	09 Mar
Thailand	15.0	101.0	53	10 Mar
Thailand	15.0	101.0	59	11 Mar
Thailand	15.0	101.0	70	12 Mar
Thailand	15.0	101.0	75	13 Mar
Thailand	15.0	101.0	82	14 Mar
Thailand	15.0	101.0	114	15 Mar
Thailand	15.0	101.0	147	16 Mar
Japan	36.0	138.0	2	22 Jan
Japan	36.0	138.0	1	23 Jan
Japan	36.0	138.0	2	24 Jan
Japan	36.0	138.0	2	25 Jan
Japan	36.0	138.0	4	26 Jan
Japan	36.0	138.0	4	27 Jan
Japan	36.0	138.0	7	28 Jan
Japan	36.0	138.0	7	29 Jan
Japan	36.0	138.0	11	30 Jan
Japan	36.0	138.0	15	31 Jan
Japan	36.0	138.0	20	01 Feb
Japan	36.0	138.0	20	02 Feb
Japan	36.0	138.0	20	03 Feb
Japan	36.0	138.0	22	04 Feb
Japan	36.0	138.0	22	05 Feb
Japan	36.0	138.0	45	06 Feb
